data.hora;data;tcle;cidade;uf;idade;sexo;raca;escolaridade;renda;rendafam;estcivil;filho_dep;qtd_filho_dep;plano;data_plano;plano_covid;preco_plano;pgt_plano;quarentena;teste_cov;result_teste_cov;contat_cov;morte_cov;equip_defensiv;gasto_equip_defensiv
6/4/2020 21:40:46;04/06/2020;Sim;Niterói;RJ;44;Feminino;Branco;;1500;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde DURANTE A PANDEMIA.;Não;1000;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:40:53;04/06/2020;Sim;Silvânia;GO;27;Feminino;Pardo;;4800;;Casado;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;280;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:41:46;04/06/2020;Sim;Fortaleza;CE;49;Masculino;Branco;;11000;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;560;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;150
6/4/2020 21:42:25;04/06/2020;Sim;Goiânia;GO;26;Feminino;Branco;;5000;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;230;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;60
6/4/2020 21:43:08;04/06/2020;Sim;Barueri;SP;30;Feminino;Branco;;6000;;Solteiro;Não possuo filhos ou dependentes.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Não;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:43:24;04/06/2020;Sim;Goiânia ;GO;31;Feminino;Branco;;5460;;Outro;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;333;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:43:26;04/06/2020;Sim;João Pessoa;PB;50;Masculino;Pardo;;7000;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;1200;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;300
6/4/2020 21:43:39;04/06/2020;Sim;Jaboatão dos Guararapes;PE;26;Feminino;Preto;;1400;;Solteiro;Não possuo filhos ou dependentes.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;150;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;11
6/4/2020 21:44:04;04/06/2020;Não;Teixeira de Freitas;BA;28;Feminino;Pardo;;970;;Divorciado / Separado / desquitado;Não possuo filhos ou dependentes.;2;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:44:26;04/06/2020;Sim;Camaragibe;PE;34;Masculino;Pardo;;1045;;Casado;Sim, filhos ou dependentes moram comigo.;5;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Sim;Fiquei rigorosamente em casa, saindo só por necessidades de atendimento à saúde.;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:44:42;04/06/2020;Sim;Brasília;DF;33;Feminino;Branco;;2200;;Solteiro;Não possuo filhos ou dependentes.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;400;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:46:12;04/06/2020;Sim;Linhares;ES;52;Feminino;Pardo;;7000;;Solteiro;Não possuo filhos ou dependentes.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;600;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:46:13;04/06/2020;Sim;São Luís;MA;22;Masculino;Preto;;1500;;Solteiro;Não possuo filhos ou dependentes.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;461;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;1000
6/4/2020 21:47:15;04/06/2020;Sim;Brasília;DF;24;Feminino;Pardo;;1100;;Solteiro;Não possuo filhos ou dependentes.;6;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:47:25;04/06/2020;Sim;Goiânia ;GO;52;Masculino;Branco;;8000;;Casado;Sim, filhos ou dependentes moram comigo.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;750;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;200
6/4/2020 21:47:31;04/06/2020;Sim;Brasília;DF;21;Masculino;Branco;;0;;Solteiro;Não possuo filhos ou dependentes.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;300;Sim;Fiquei rigorosamente em casa, saindo só por necessidades de atendimento à saúde.;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:47:37;04/06/2020;Sim;Cruz das Almas;BA;32;Feminino;Preto;;0;;Solteiro;Sim, filhos ou dependentes moram comigo.;6;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:47:39;04/06/2020;Sim;Fortaleza;CE;22;Masculino;Branco;;700;;Solteiro;Não possuo filhos ou dependentes.;5;Não;Não tenho plano de saúde;;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;40
6/4/2020 21:47:51;04/06/2020;Sim;Montes Claros;MG;24;Masculino;Pardo;;1800;;Solteiro;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:48:17;04/06/2020;Sim;Jaboatão dos Guararapes;PE;21;Feminino;Pardo;;1600;;Solteiro;Sim, filhos ou dependentes moram comigo.;3;Não;Não tenho plano de saúde;;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:49:22;04/06/2020;Sim;Brasília;DF;23;Masculino;Branco;;0;;Solteiro;Não possuo filhos ou dependentes.;5;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;300;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;60
6/4/2020 21:49:34;04/06/2020;Sim;Paulista ;PE;39;Masculino;Branco;;1000;;Solteiro;Não possuo filhos ou dependentes.;4;Não;Não tenho plano de saúde;;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;0;Não fiz o teste.;;;Não;0
6/4/2020 21:50:21;04/06/2020;Sim;Brasília;DF;27;Masculino;Preto;;2000;;Solteiro;Não possuo filhos ou dependentes.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;419;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:50:58;04/06/2020;Sim;Brasília;DF;29;Feminino;Pardo;;5000;;Solteiro;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;700;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Sim;Negativo;;;Sim;100
6/4/2020 21:51:21;04/06/2020;Sim;Barueri;SP;37;Feminino;Branco;;10000;;Solteiro;Não possuo filhos ou dependentes.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Não;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;150
6/4/2020 21:51:57;04/06/2020;Sim;Brasília;DF;34;Feminino;Branco;;8000;;Solteiro;Não possuo filhos ou dependentes.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;300;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;80
6/4/2020 21:52:51;04/06/2020;Sim;Barueri;SP;30;Masculino;Branco;;4000;;Casado;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;800
6/4/2020 21:52:52;04/06/2020;Sim;Belo Horizonte;MG;30;Feminino;Amarelo;;2900;;Solteiro;Não possuo filhos ou dependentes.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;60
6/4/2020 21:53:10;04/06/2020;Sim;São João d'Aliança;GO;32;Feminino;Amarelo;;800;;Casado;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;392;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;270
6/4/2020 21:53:32;04/06/2020;Sim;Recife;PE;30;Feminino;Pardo;;4800;;Solteiro;Não possuo filhos ou dependentes.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;500
6/4/2020 21:54:06;04/06/2020;Sim;Rio de Janeiro;RJ;27;Feminino;Branco;;2500;;Outro;Não possuo filhos ou dependentes.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;380;Sim;Fiquei rigorosamente em casa, saindo só por necessidades de atendimento à saúde.;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:55:08;04/06/2020;Sim;Brasília;DF;23;Masculino;Preto;;800;;Solteiro;Não possuo filhos ou dependentes.;6;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;120
